date,open,high,low,close,volume,bar_count,wap,has_gaps
20100629  10:00:00,11863.0,11875.0,11858.0,11861.0,0,85,0.0,0
20100629  10:00:30,11862.0,11870.0,11856.0,11864.0,0,39,0.0,0
20100629  10:01:00,11865.0,11865.0,11858.0,11860.0,0,27,0.0,0
20100629  10:01:30,11859.0,11867.0,11859.0,11866.0,0,15,0.0,0
20100629  10:02:00,11868.0,11871.0,11865.0,11867.0,0,9,0.0,0
20100629  10:02:30,11868.0,11871.0,11865.0,11871.0,0,18,0.0,0
20100629  10:03:00,11872.0,11873.0,11868.0,11871.0,0,13,0.0,0
20100629  10:03:30,11870.0,11870.0,11862.0,11862.0,0,10,0.0,0
20100629  10:04:00,11864.0,11866.0,11858.0,11859.0,0,17,0.0,0
20100629  10:04:30,11861.0,11862.0,11852.0,11852.0,0,20,0.0,0
20100629  10:05:00,11854.0,11856.0,11849.0,11855.0,0,19,0.0,0
20100629  10:05:30,11854.0,11861.0,11851.0,11857.0,0,19,0.0,0
20100629  10:06:00,11860.0,11863.0,11859.0,11859.0,0,5,0.0,0
20100629  10:06:30,11862.0,11862.0,11856.0,11856.0,0,10,0.0,0
20100629  10:07:00,11858.0,11863.0,11856.0,11859.0,0,15,0.0,0
20100629  10:07:30,11857.0,11859.0,11853.0,11856.0,0,10,0.0,0
20100629  10:08:00,11855.0,11858.0,11852.0,11854.0,0,17,0.0,0
20100629  10:08:30,11857.0,11857.0,11845.0,11847.0,0,12,0.0,0
20100629  10:09:00,11850.0,11850.0,11846.0,11848.0,0,4,0.0,0
20100629  10:09:30,11849.0,11849.0,11839.0,11839.0,0,16,0.0,0
20100629  10:10:00,11841.0,11841.0,11834.0,11837.0,0,11,0.0,0
20100629  10:10:30,11834.0,11838.0,11832.0,11832.0,0,10,0.0,0
20100629  10:11:00,11831.0,11839.0,11831.0,11836.0,0,17,0.0,0
20100629  10:11:30,11837.0,11840.0,11833.0,11837.0,0,18,0.0,0
20100629  10:12:00,11839.0,11842.0,11838.0,11841.0,0,10,0.0,0
