date,open,high,low,close,volume,bar_count,wap,has_gaps
20100906  10:00:00,11878.0,11896.0,11876.0,11881.0,0,142,0.0,0
20100906  10:00:30,11879.0,11881.0,11867.0,11872.0,0,92,0.0,0
20100906  10:01:00,11870.0,11885.0,11870.0,11880.0,0,52,0.0,0
20100906  10:01:30,11882.0,11889.0,11878.0,11885.0,0,39,0.0,0
20100906  10:02:00,11884.0,11889.0,11882.0,11888.0,0,26,0.0,0
20100906  10:02:30,11886.0,11889.0,11882.0,11886.0,0,34,0.0,0
20100906  10:03:00,11888.0,11891.0,11882.0,11888.0,0,42,0.0,0
20100906  10:03:30,11886.0,11891.0,11883.0,11889.0,0,20,0.0,0
20100906  10:04:00,11887.0,11895.0,11886.0,11892.0,0,31,0.0,0
20100906  10:04:30,11894.0,11896.0,11890.0,11894.0,0,21,0.0,0
20100906  10:05:00,11893.0,11901.0,11893.0,11898.0,0,34,0.0,0
20100906  10:05:30,11896.0,11903.0,11895.0,11899.0,0,23,0.0,0
20100906  10:06:00,11901.0,11901.0,11891.0,11893.0,0,17,0.0,0
20100906  10:06:30,11896.0,11897.0,11892.0,11897.0,0,13,0.0,0
20100906  10:07:00,11896.0,11900.0,11894.0,11897.0,0,21,0.0,0
20100906  10:07:30,11895.0,11898.0,11890.0,11896.0,0,28,0.0,0
20100906  10:08:00,11894.0,11900.0,11893.0,11898.0,0,16,0.0,0
20100906  10:08:30,11896.0,11897.0,11890.0,11893.0,0,19,0.0,0
20100906  10:09:00,11894.0,11895.0,11889.0,11890.0,0,15,0.0,0
20100906  10:09:30,11891.0,11894.0,11890.0,11894.0,0,11,0.0,0
20100906  10:10:00,11891.0,11893.0,11887.0,11891.0,0,21,0.0,0
20100906  10:10:30,11890.0,11890.0,11883.0,11885.0,0,16,0.0,0
20100906  10:11:00,11884.0,11893.0,11883.0,11890.0,0,24,0.0,0
20100906  10:11:30,11892.0,11894.0,11889.0,11892.0,0,19,0.0,0
20100906  10:12:00,11890.0,11894.0,11887.0,11888.0,0,22,0.0,0
20100906  10:12:30,11886.0,11890.0,11879.0,11879.0,0,20,0.0,0
20100906  10:13:00,11882.0,11885.0,11873.0,11875.0,0,43,0.0,0
20100906  10:13:30,11876.0,11877.0,11872.0,11874.0,0,12,0.0,0
20100906  10:14:00,11873.0,11877.0,11870.0,11874.0,0,17,0.0,0
20100906  10:14:30,11872.0,11878.0,11868.0,11871.0,0,22,0.0,0
20100906  10:15:00,11872.0,11876.0,11865.0,11876.0,0,20,0.0,0
20100906  10:15:30,11873.0,11876.0,11870.0,11874.0,0,17,0.0,0
20100906  10:16:00,11876.0,11877.0,11868.0,11868.0,0,21,0.0,0
20100906  10:16:30,11869.0,11875.0,11866.0,11875.0,0,19,0.0,0
20100906  10:17:00,11873.0,11873.0,11868.0,11869.0,0,11,0.0,0
20100906  10:17:30,11870.0,11872.0,11867.0,11867.0,0,7,0.0,0
20100906  10:18:00,11866.0,11874.0,11866.0,11870.0,0,18,0.0,0
20100906  10:18:30,11872.0,11874.0,11867.0,11872.0,0,19,0.0,0
20100906  10:19:00,11874.0,11876.0,11869.0,11875.0,0,15,0.0,0
20100906  10:19:30,11874.0,11877.0,11870.0,11870.0,0,17,0.0,0
20100906  10:20:00,11872.0,11874.0,11869.0,11870.0,0,15,0.0,0
20100906  10:20:30,11872.0,11877.0,11872.0,11872.0,0,13,0.0,0
20100906  10:21:00,11871.0,11875.0,11871.0,11875.0,0,14,0.0,0
20100906  10:21:30,11876.0,11882.0,11873.0,11878.0,0,16,0.0,0
20100906  10:22:00,11875.0,11882.0,11875.0,11878.0,0,8,0.0,0
20100906  10:22:30,11881.0,11881.0,11874.0,11876.0,0,20,0.0,0
20100906  10:23:00,11878.0,11882.0,11876.0,11881.0,0,23,0.0,0
20100906  10:23:30,11882.0,11884.0,11879.0,11880.0,0,13,0.0,0
20100906  10:24:00,11880.0,11881.0,11871.0,11871.0,0,21,0.0,0
20100906  10:24:30,11873.0,11874.0,11870.0,11871.0,0,15,0.0,0
20100906  10:25:00,11870.0,11875.0,11869.0,11874.0,0,10,0.0,0
20100906  10:25:30,11875.0,11877.0,11868.0,11868.0,0,14,0.0,0
20100906  10:26:00,11871.0,11878.0,11871.0,11872.0,0,8,0.0,0
20100906  10:26:30,11869.0,11875.0,11869.0,11873.0,0,12,0.0,0
20100906  10:27:00,11871.0,11876.0,11870.0,11870.0,0,12,0.0,0
20100906  10:27:30,11872.0,11872.0,11866.0,11868.0,0,15,0.0,0
20100906  10:28:00,11870.0,11876.0,11870.0,11871.0,0,15,0.0,0
20100906  10:28:30,11872.0,11874.0,11867.0,11867.0,0,16,0.0,0
20100906  10:29:00,11865.0,11866.0,11860.0,11864.0,0,9,0.0,0
20100906  10:29:30,11862.0,11864.0,11858.0,11860.0,0,17,0.0,0
20100906  10:30:00,11862.0,11865.0,11857.0,11859.0,0,21,0.0,0
20100906  10:30:30,11861.0,11861.0,11858.0,11860.0,0,5,0.0,0
20100906  10:31:00,11862.0,11866.0,11859.0,11866.0,0,18,0.0,0
20100906  10:31:30,11867.0,11867.0,11860.0,11862.0,0,9,0.0,0
20100906  10:32:00,11863.0,11871.0,11861.0,11869.0,0,12,0.0,0
20100906  10:32:30,11867.0,11876.0,11865.0,11876.0,0,25,0.0,0
