date,open,high,low,close,volume,bar_count,wap,has_gaps
20100504  10:00:00,12021.0,12030.0,12014.0,12026.0,0,78,0.0,0
20100504  10:00:30,12027.0,12040.0,12027.0,12035.0,0,52,0.0,0
20100504  10:01:00,12032.0,12038.0,12030.0,12032.0,0,30,0.0,0
20100504  10:01:30,12035.0,12041.0,12034.0,12041.0,0,11,0.0,0
20100504  10:02:00,12042.0,12045.0,12041.0,12045.0,0,15,0.0,0
20100504  10:02:30,12046.0,12058.0,12046.0,12057.0,0,13,0.0,0
20100504  10:03:00,12059.0,12064.0,12058.0,12064.0,0,16,0.0,0
20100504  10:03:30,12061.0,12072.0,12059.0,12072.0,0,21,0.0,0
20100504  10:04:00,12071.0,12082.0,12069.0,12081.0,0,27,0.0,0
20100504  10:04:30,12082.0,12098.0,12082.0,12096.0,0,22,0.0,0
20100504  10:05:00,12098.0,12098.0,12087.0,12087.0,0,26,0.0,0
20100504  10:05:30,12089.0,12094.0,12086.0,12091.0,0,17,0.0,0
20100504  10:06:00,12093.0,12096.0,12083.0,12083.0,0,23,0.0,0
20100504  10:06:30,12086.0,12087.0,12078.0,12084.0,0,20,0.0,0
20100504  10:07:00,12085.0,12086.0,12077.0,12079.0,0,16,0.0,0
20100504  10:07:30,12082.0,12082.0,12073.0,12075.0,0,11,0.0,0
20100504  10:08:00,12076.0,12077.0,12071.0,12073.0,0,7,0.0,0
20100504  10:08:30,12074.0,12074.0,12065.0,12065.0,0,11,0.0,0
20100504  10:09:00,12066.0,12068.0,12066.0,12066.0,0,8,0.0,0
20100504  10:09:30,12068.0,12073.0,12066.0,12073.0,0,18,0.0,0
20100504  10:10:00,12071.0,12071.0,12065.0,12070.0,0,23,0.0,0
20100504  10:10:30,12071.0,12072.0,12066.0,12068.0,0,11,0.0,0
20100504  10:11:00,12070.0,12073.0,12064.0,12073.0,0,16,0.0,0
20100504  10:11:30,12074.0,12076.0,12066.0,12075.0,0,23,0.0,0
20100504  10:12:00,12073.0,12073.0,12069.0,12069.0,0,12,0.0,0
20100504  10:12:30,12068.0,12070.0,12061.0,12061.0,0,19,0.0,0
20100504  10:13:00,12064.0,12065.0,12059.0,12061.0,0,14,0.0,0
20100504  10:13:30,12060.0,12062.0,12058.0,12059.0,0,13,0.0,0
20100504  10:14:00,12061.0,12062.0,12058.0,12059.0,0,13,0.0,0
20100504  10:14:30,12058.0,12060.0,12056.0,12059.0,0,8,0.0,0
20100504  10:15:00,12061.0,12063.0,12054.0,12058.0,0,14,0.0,0
20100504  10:15:30,12057.0,12062.0,12057.0,12062.0,0,12,0.0,0
20100504  10:16:00,12064.0,12071.0,12062.0,12069.0,0,20,0.0,0
20100504  10:16:30,12071.0,12072.0,12063.0,12070.0,0,14,0.0,0
20100504  10:17:00,12068.0,12076.0,12066.0,12075.0,0,17,0.0,0
20100504  10:17:30,12077.0,12078.0,12071.0,12077.0,0,18,0.0,0
20100504  10:18:00,12075.0,12082.0,12075.0,12079.0,0,11,0.0,0
20100504  10:18:30,12080.0,12083.0,12078.0,12083.0,0,15,0.0,0
20100504  10:19:00,12081.0,12083.0,12075.0,12075.0,0,14,0.0,0
20100504  10:19:30,12078.0,12081.0,12075.0,12075.0,0,13,0.0,0
20100504  10:20:00,12073.0,12078.0,12073.0,12076.0,0,13,0.0,0
20100504  10:20:30,12075.0,12081.0,12075.0,12081.0,0,6,0.0,0
20100504  10:21:00,12082.0,12082.0,12076.0,12079.0,0,8,0.0,0
20100504  10:21:30,12082.0,12082.0,12079.0,12079.0,0,5,0.0,0
20100504  10:22:00,12080.0,12082.0,12078.0,12080.0,0,11,0.0,0
20100504  10:22:30,12083.0,12085.0,12077.0,12081.0,0,18,0.0,0
20100504  10:23:00,12082.0,12086.0,12081.0,12086.0,0,12,0.0,0
20100504  10:23:30,12088.0,12091.0,12084.0,12087.0,0,16,0.0,0
20100504  10:24:00,12085.0,12086.0,12080.0,12084.0,0,12,0.0,0
20100504  10:24:30,12086.0,12087.0,12083.0,12084.0,0,7,0.0,0
20100504  10:25:00,12082.0,12087.0,12076.0,12078.0,0,14,0.0,0
20100504  10:25:30,12080.0,12083.0,12078.0,12079.0,0,12,0.0,0
20100504  10:26:00,12078.0,12078.0,12073.0,12076.0,0,14,0.0,0
20100504  10:26:30,12078.0,12078.0,12072.0,12074.0,0,8,0.0,0
20100504  10:27:00,12073.0,12077.0,12073.0,12073.0,0,10,0.0,0
20100504  10:27:30,12070.0,12077.0,12070.0,12072.0,0,11,0.0,0
20100504  10:28:00,12074.0,12077.0,12070.0,12077.0,0,19,0.0,0
20100504  10:28:30,12076.0,12079.0,12073.0,12074.0,0,11,0.0,0
20100504  10:29:00,12076.0,12076.0,12072.0,12072.0,0,7,0.0,0
20100504  10:29:30,12073.0,12076.0,12071.0,12076.0,0,12,0.0,0
20100504  10:30:00,12075.0,12075.0,12070.0,12072.0,0,8,0.0,0
20100504  10:30:30,12071.0,12071.0,12064.0,12066.0,0,7,0.0,0
20100504  10:31:00,12069.0,12070.0,12063.0,12069.0,0,10,0.0,0
20100504  10:31:30,12068.0,12071.0,12062.0,12067.0,0,12,0.0,0
20100504  10:32:00,12069.0,12069.0,12058.0,12062.0,0,11,0.0,0
20100504  10:32:30,12060.0,12063.0,12057.0,12058.0,0,7,0.0,0
20100504  10:33:00,12056.0,12059.0,12054.0,12059.0,0,13,0.0,0
20100504  10:33:30,12060.0,12060.0,12057.0,12058.0,0,4,0.0,0
20100504  10:34:00,12061.0,12067.0,12061.0,12065.0,0,9,0.0,0
20100504  10:34:30,12067.0,12067.0,12060.0,12060.0,0,6,0.0,0
20100504  10:35:00,12058.0,12063.0,12058.0,12062.0,0,8,0.0,0
