date,open,high,low,close,volume,bar_count,wap,has_gaps
20100618  10:00:00,20176.0,20189.0,20168.0,20175.0,0,117,0.0,0
20100618  10:00:30,20172.0,20181.0,20172.0,20174.0,0,33,0.0,0
20100618  10:01:00,20173.0,20186.0,20173.0,20182.0,0,22,0.0,0
20100618  10:01:30,20180.0,20189.0,20178.0,20188.0,0,12,0.0,0
20100618  10:02:00,20190.0,20202.0,20178.0,20202.0,0,33,0.0,0
20100618  10:02:30,20204.0,20229.0,20204.0,20226.0,0,26,0.0,0
20100618  10:03:00,20229.0,20238.0,20225.0,20232.0,0,13,0.0,0
20100618  10:03:30,20231.0,20233.0,20225.0,20227.0,0,18,0.0,0
20100618  10:04:00,20229.0,20234.0,20220.0,20223.0,0,13,0.0,0
20100618  10:04:30,20225.0,20227.0,20214.0,20214.0,0,14,0.0,0
20100618  10:05:00,20212.0,20214.0,20206.0,20207.0,0,13,0.0,0
20100618  10:05:30,20209.0,20210.0,20203.0,20209.0,0,17,0.0,0
20100618  10:06:00,20211.0,20219.0,20211.0,20212.0,0,13,0.0,0
20100618  10:06:30,20216.0,20216.0,20208.0,20214.0,0,18,0.0,0
20100618  10:07:00,20211.0,20214.0,20207.0,20214.0,0,11,0.0,0
20100618  10:07:30,20212.0,20217.0,20212.0,20215.0,0,9,0.0,0
20100618  10:08:00,20218.0,20219.0,20212.0,20217.0,0,27,0.0,0
20100618  10:08:30,20215.0,20215.0,20208.0,20211.0,0,10,0.0,0
20100618  10:09:00,20209.0,20213.0,20207.0,20209.0,0,8,0.0,0
20100618  10:09:30,20207.0,20208.0,20202.0,20208.0,0,7,0.0,0
20100618  10:10:00,20209.0,20211.0,20205.0,20211.0,0,8,0.0,0
20100618  10:10:30,20210.0,20210.0,20204.0,20205.0,0,7,0.0,0
20100618  10:11:00,20207.0,20210.0,20207.0,20209.0,0,8,0.0,0
20100618  10:11:30,20206.0,20211.0,20205.0,20209.0,0,10,0.0,0
20100618  10:12:00,20208.0,20212.0,20206.0,20212.0,0,7,0.0,0
20100618  10:12:30,20209.0,20211.0,20207.0,20208.0,0,7,0.0,0
20100618  10:13:00,20211.0,20214.0,20209.0,20209.0,0,6,0.0,0
20100618  10:13:30,20208.0,20212.0,20206.0,20210.0,0,9,0.0,0
20100618  10:14:00,20212.0,20216.0,20210.0,20216.0,0,19,0.0,0
20100618  10:14:30,20214.0,20216.0,20210.0,20216.0,0,16,0.0,0
20100618  10:15:00,20215.0,20219.0,20209.0,20215.0,0,12,0.0,0
20100618  10:15:30,20217.0,20219.0,20213.0,20217.0,0,11,0.0,0
