date,open,high,low,close,volume,bar_count,wap,has_gaps
20100901  10:00:00,11404.0,11434.0,11402.0,11423.0,0,108,0.0,0
20100901  10:00:30,11422.0,11442.0,11417.0,11439.0,0,49,0.0,0
20100901  10:01:00,11436.0,11441.0,11430.0,11441.0,0,23,0.0,0
20100901  10:01:30,11438.0,11444.0,11436.0,11443.0,0,18,0.0,0
20100901  10:02:00,11446.0,11449.0,11442.0,11448.0,0,15,0.0,0
20100901  10:02:30,11446.0,11450.0,11440.0,11442.0,0,22,0.0,0
20100901  10:03:00,11445.0,11447.0,11439.0,11442.0,0,16,0.0,0
20100901  10:03:30,11444.0,11445.0,11442.0,11443.0,0,7,0.0,0
20100901  10:04:00,11440.0,11443.0,11437.0,11438.0,0,17,0.0,0
20100901  10:04:30,11440.0,11443.0,11432.0,11439.0,0,25,0.0,0
20100901  10:05:00,11440.0,11440.0,11429.0,11431.0,0,24,0.0,0
20100901  10:05:30,11429.0,11431.0,11425.0,11427.0,0,18,0.0,0
20100901  10:06:00,11426.0,11430.0,11423.0,11428.0,0,29,0.0,0
20100901  10:06:30,11426.0,11429.0,11422.0,11422.0,0,20,0.0,0
20100901  10:07:00,11420.0,11421.0,11417.0,11418.0,0,20,0.0,0
20100901  10:07:30,11421.0,11425.0,11416.0,11422.0,0,15,0.0,0
20100901  10:08:00,11421.0,11424.0,11415.0,11424.0,0,14,0.0,0
20100901  10:08:30,11425.0,11427.0,11421.0,11426.0,0,18,0.0,0
20100901  10:09:00,11425.0,11429.0,11423.0,11427.0,0,8,0.0,0
20100901  10:09:30,11424.0,11428.0,11423.0,11425.0,0,8,0.0,0
20100901  10:10:00,11423.0,11423.0,11417.0,11423.0,0,15,0.0,0
20100901  10:10:30,11421.0,11430.0,11421.0,11429.0,0,13,0.0,0
20100901  10:11:00,11431.0,11433.0,11431.0,11431.0,0,5,0.0,0
20100901  10:11:30,11432.0,11436.0,11432.0,11433.0,0,6,0.0,0
20100901  10:12:00,11434.0,11439.0,11422.0,11425.0,0,28,0.0,0
20100901  10:12:30,11427.0,11428.0,11423.0,11427.0,0,15,0.0,0
20100901  10:13:00,11426.0,11433.0,11425.0,11432.0,0,12,0.0,0
20100901  10:13:30,11432.0,11436.0,11431.0,11432.0,0,13,0.0,0
20100901  10:14:00,11435.0,11444.0,11432.0,11444.0,0,22,0.0,0
20100901  10:14:30,11441.0,11449.0,11439.0,11448.0,0,20,0.0,0
20100901  10:15:00,11446.0,11446.0,11440.0,11443.0,0,26,0.0,0
20100901  10:15:30,11444.0,11449.0,11442.0,11447.0,0,22,0.0,0
20100901  10:16:00,11444.0,11446.0,11441.0,11444.0,0,15,0.0,0
20100901  10:16:30,11446.0,11450.0,11443.0,11450.0,0,19,0.0,0
20100901  10:17:00,11448.0,11449.0,11441.0,11444.0,0,17,0.0,0
20100901  10:17:30,11441.0,11444.0,11436.0,11440.0,0,12,0.0,0
20100901  10:18:00,11441.0,11449.0,11441.0,11448.0,0,15,0.0,0
20100901  10:18:30,11451.0,11456.0,11451.0,11454.0,0,5,0.0,0
20100901  10:19:00,11453.0,11456.0,11451.0,11451.0,0,8,0.0,0
20100901  10:19:30,11454.0,11458.0,11453.0,11453.0,0,11,0.0,0
20100901  10:20:00,11455.0,11456.0,11453.0,11456.0,0,8,0.0,0
20100901  10:20:30,11453.0,11455.0,11451.0,11451.0,0,6,0.0,0
20100901  10:21:00,11452.0,11454.0,11447.0,11452.0,0,9,0.0,0
20100901  10:21:30,11450.0,11453.0,11447.0,11452.0,0,13,0.0,0
20100901  10:22:00,11450.0,11455.0,11448.0,11450.0,0,16,0.0,0
20100901  10:22:30,11448.0,11453.0,11447.0,11453.0,0,14,0.0,0
20100901  10:23:00,11450.0,11450.0,11447.0,11449.0,0,5,0.0,0
20100901  10:23:30,11447.0,11451.0,11447.0,11448.0,0,7,0.0,0
20100901  10:24:00,11447.0,11450.0,11447.0,11450.0,0,7,0.0,0
20100901  10:24:30,11452.0,11452.0,11449.0,11450.0,0,8,0.0,0
20100901  10:25:00,11451.0,11459.0,11451.0,11459.0,0,14,0.0,0
20100901  10:25:30,11461.0,11466.0,11461.0,11466.0,0,8,0.0,0
20100901  10:26:00,11463.0,11472.0,11463.0,11472.0,0,10,0.0,0
20100901  10:26:30,11470.0,11472.0,11466.0,11467.0,0,12,0.0,0
20100901  10:27:00,11466.0,11470.0,11464.0,11466.0,0,10,0.0,0
20100901  10:27:30,11469.0,11469.0,11459.0,11463.0,0,15,0.0,0
20100901  10:28:00,11465.0,11465.0,11462.0,11464.0,0,4,0.0,0
20100901  10:28:30,11465.0,11465.0,11459.0,11463.0,0,10,0.0,0
20100901  10:29:00,11462.0,11465.0,11458.0,11464.0,0,15,0.0,0
20100901  10:29:30,11465.0,11465.0,11461.0,11465.0,0,7,0.0,0
20100901  10:30:00,11464.0,11470.0,11462.0,11466.0,0,17,0.0,0
20100901  10:30:30,11468.0,11469.0,11465.0,11467.0,0,11,0.0,0
20100901  10:31:00,11465.0,11470.0,11465.0,11466.0,0,12,0.0,0
20100901  10:31:30,11467.0,11470.0,11465.0,11468.0,0,9,0.0,0
20100901  10:32:00,11470.0,11472.0,11463.0,11464.0,0,14,0.0,0
20100901  10:32:30,11465.0,11465.0,11463.0,11465.0,0,5,0.0,0
20100901  10:33:00,11466.0,11472.0,11466.0,11471.0,0,12,0.0,0
20100901  10:33:30,11469.0,11472.0,11467.0,11470.0,0,9,0.0,0
20100901  10:34:00,11472.0,11475.0,11469.0,11471.0,0,10,0.0,0
20100901  10:34:30,11473.0,11474.0,11471.0,11471.0,0,5,0.0,0
20100901  10:35:00,11469.0,11472.0,11468.0,11472.0,0,7,0.0,0
20100901  10:35:30,11473.0,11476.0,11469.0,11469.0,0,14,0.0,0
