date,open,high,low,close,volume,bar_count,wap,has_gaps
20100416  10:00:00,12738.0,12738.0,12711.0,12721.0,0,101,0.0,0
20100416  10:00:30,12720.0,12720.0,12702.0,12716.0,0,55,0.0,0
20100416  10:01:00,12714.0,12741.0,12711.0,12739.0,0,52,0.0,0
20100416  10:01:30,12738.0,12745.0,12734.0,12736.0,0,40,0.0,0
20100416  10:02:00,12738.0,12749.0,12737.0,12743.0,0,28,0.0,0
20100416  10:02:30,12742.0,12752.0,12740.0,12743.0,0,29,0.0,0
20100416  10:03:00,12745.0,12749.0,12738.0,12742.0,0,38,0.0,0
20100416  10:03:30,12738.0,12747.0,12733.0,12737.0,0,41,0.0,0
20100416  10:04:00,12736.0,12742.0,12731.0,12733.0,0,35,0.0,0
20100416  10:04:30,12735.0,12735.0,12726.0,12730.0,0,33,0.0,0
20100416  10:05:00,12732.0,12732.0,12719.0,12722.0,0,20,0.0,0
20100416  10:05:30,12721.0,12721.0,12708.0,12709.0,0,29,0.0,0
20100416  10:06:00,12711.0,12717.0,12707.0,12714.0,0,17,0.0,0
20100416  10:06:30,12711.0,12712.0,12705.0,12707.0,0,25,0.0,0
20100416  10:07:00,12706.0,12713.0,12704.0,12707.0,0,21,0.0,0
20100416  10:07:30,12709.0,12715.0,12707.0,12708.0,0,29,0.0,0
20100416  10:08:00,12710.0,12716.0,12709.0,12715.0,0,23,0.0,0
20100416  10:08:30,12713.0,12715.0,12711.0,12711.0,0,10,0.0,0
20100416  10:09:00,12712.0,12714.0,12708.0,12709.0,0,17,0.0,0
20100416  10:09:30,12711.0,12713.0,12706.0,12707.0,0,24,0.0,0
20100416  10:10:00,12708.0,12708.0,12701.0,12705.0,0,21,0.0,0
20100416  10:10:30,12706.0,12709.0,12702.0,12708.0,0,15,0.0,0
20100416  10:11:00,12710.0,12710.0,12699.0,12702.0,0,22,0.0,0
20100416  10:11:30,12701.0,12704.0,12694.0,12694.0,0,23,0.0,0
20100416  10:12:00,12696.0,12699.0,12682.0,12682.0,0,14,0.0,0
20100416  10:12:30,12681.0,12684.0,12676.0,12681.0,0,21,0.0,0
20100416  10:13:00,12678.0,12678.0,12672.0,12677.0,0,12,0.0,0
20100416  10:13:30,12676.0,12676.0,12665.0,12665.0,0,22,0.0,0
20100416  10:14:00,12668.0,12668.0,12656.0,12659.0,0,18,0.0,0
20100416  10:14:30,12661.0,12661.0,12652.0,12656.0,0,20,0.0,0
20100416  10:15:00,12655.0,12655.0,12643.0,12643.0,0,20,0.0,0
20100416  10:15:30,12642.0,12642.0,12626.0,12626.0,0,31,0.0,0
20100416  10:16:00,12624.0,12629.0,12616.0,12617.0,0,26,0.0,0
20100416  10:16:30,12615.0,12619.0,12609.0,12614.0,0,29,0.0,0
20100416  10:17:00,12616.0,12616.0,12606.0,12609.0,0,33,0.0,0
20100416  10:17:30,12612.0,12612.0,12606.0,12610.0,0,24,0.0,0
20100416  10:18:00,12608.0,12625.0,12608.0,12618.0,0,29,0.0,0
20100416  10:18:30,12617.0,12620.0,12608.0,12615.0,0,22,0.0,0
20100416  10:19:00,12613.0,12613.0,12598.0,12598.0,0,31,0.0,0
20100416  10:19:30,12599.0,12607.0,12598.0,12600.0,0,23,0.0,0
20100416  10:20:00,12599.0,12602.0,12590.0,12592.0,0,32,0.0,0
20100416  10:20:30,12594.0,12602.0,12590.0,12599.0,0,27,0.0,0
20100416  10:21:00,12601.0,12609.0,12599.0,12609.0,0,32,0.0,0
20100416  10:21:30,12605.0,12610.0,12605.0,12609.0,0,11,0.0,0
20100416  10:22:00,12610.0,12615.0,12609.0,12614.0,0,17,0.0,0
20100416  10:22:30,12617.0,12619.0,12606.0,12610.0,0,20,0.0,0
20100416  10:23:00,12607.0,12612.0,12603.0,12603.0,0,26,0.0,0
20100416  10:23:30,12600.0,12607.0,12598.0,12599.0,0,21,0.0,0
20100416  10:24:00,12602.0,12606.0,12598.0,12598.0,0,22,0.0,0
20100416  10:24:30,12596.0,12601.0,12589.0,12589.0,0,21,0.0,0
20100416  10:25:00,12588.0,12592.0,12582.0,12582.0,0,21,0.0,0
20100416  10:25:30,12585.0,12585.0,12576.0,12577.0,0,18,0.0,0
20100416  10:26:00,12574.0,12580.0,12572.0,12578.0,0,28,0.0,0
20100416  10:26:30,12576.0,12577.0,12565.0,12573.0,0,29,0.0,0
20100416  10:27:00,12575.0,12577.0,12556.0,12556.0,0,35,0.0,0
20100416  10:27:30,12555.0,12563.0,12555.0,12563.0,0,34,0.0,0
20100416  10:28:00,12561.0,12563.0,12556.0,12556.0,0,20,0.0,0
20100416  10:28:30,12555.0,12561.0,12554.0,12555.0,0,16,0.0,0
20100416  10:29:00,12552.0,12561.0,12551.0,12557.0,0,24,0.0,0
20100416  10:29:30,12559.0,12565.0,12558.0,12565.0,0,23,0.0,0
20100416  10:30:00,12566.0,12573.0,12564.0,12572.0,0,15,0.0,0
20100416  10:30:30,12573.0,12576.0,12571.0,12572.0,0,22,0.0,0
20100416  10:31:00,12571.0,12578.0,12571.0,12577.0,0,20,0.0,0
20100416  10:31:30,12575.0,12580.0,12572.0,12578.0,0,16,0.0,0
20100416  10:32:00,12579.0,12586.0,12577.0,12586.0,0,16,0.0,0
20100416  10:32:30,12587.0,12591.0,12585.0,12585.0,0,11,0.0,0
20100416  10:33:00,12584.0,12590.0,12581.0,12586.0,0,22,0.0,0
20100416  10:33:30,12587.0,12594.0,12585.0,12590.0,0,19,0.0,0
20100416  10:34:00,12587.0,12598.0,12587.0,12597.0,0,24,0.0,0
20100416  10:34:30,12595.0,12605.0,12593.0,12603.0,0,25,0.0,0
