date,open,high,low,close,volume,bar_count,wap,has_gaps
20100302  10:00:00,11986.0,11999.0,11974.0,11975.0,0,166,0.0,0
20100302  10:00:30,11977.0,11985.0,11959.0,11965.0,0,126,0.0,0
20100302  10:01:00,11962.0,11974.0,11961.0,11963.0,0,83,0.0,0
20100302  10:01:30,11960.0,11972.0,11960.0,11969.0,0,62,0.0,0
20100302  10:02:00,11966.0,11972.0,11963.0,11967.0,0,41,0.0,0
20100302  10:02:30,11968.0,11971.0,11961.0,11962.0,0,46,0.0,0
20100302  10:03:00,11959.0,11965.0,11957.0,11964.0,0,61,0.0,0
20100302  10:03:30,11965.0,11980.0,11961.0,11971.0,0,74,0.0,0
20100302  10:04:00,11972.0,11986.0,11972.0,11986.0,0,57,0.0,0
20100302  10:04:30,11983.0,11989.0,11979.0,11984.0,0,53,0.0,0
20100302  10:05:00,11985.0,11993.0,11980.0,11989.0,0,53,0.0,0
20100302  10:05:30,11987.0,11995.0,11984.0,11989.0,0,52,0.0,0
20100302  10:06:00,11991.0,11994.0,11979.0,11985.0,0,51,0.0,0
20100302  10:06:30,11987.0,11987.0,11973.0,11975.0,0,43,0.0,0
20100302  10:07:00,11979.0,11980.0,11969.0,11974.0,0,43,0.0,0
20100302  10:07:30,11977.0,11985.0,11966.0,11976.0,0,67,0.0,0
20100302  10:08:00,11973.0,11992.0,11973.0,11992.0,0,50,0.0,0
20100302  10:08:30,11995.0,11996.0,11984.0,11991.0,0,46,0.0,0
20100302  10:09:00,11994.0,11994.0,11985.0,11990.0,0,34,0.0,0
20100302  10:09:30,11992.0,11996.0,11984.0,11993.0,0,31,0.0,0
20100302  10:10:00,11996.0,11996.0,11983.0,11990.0,0,50,0.0,0
20100302  10:10:30,11993.0,11999.0,11986.0,11987.0,0,47,0.0,0
20100302  10:11:00,11988.0,11991.0,11984.0,11984.0,0,33,0.0,0
20100302  10:11:30,11983.0,11987.0,11976.0,11977.0,0,36,0.0,0
20100302  10:12:00,11974.0,11976.0,11970.0,11975.0,0,20,0.0,0
20100302  10:12:30,11972.0,11977.0,11968.0,11970.0,0,27,0.0,0
20100302  10:13:00,11968.0,11972.0,11965.0,11972.0,0,24,0.0,0
20100302  10:13:30,11970.0,11970.0,11960.0,11961.0,0,29,0.0,0
20100302  10:14:00,11964.0,11968.0,11958.0,11961.0,0,34,0.0,0
20100302  10:14:30,11958.0,11964.0,11956.0,11961.0,0,32,0.0,0
20100302  10:15:00,11963.0,11972.0,11961.0,11966.0,0,40,0.0,0
20100302  10:15:30,11964.0,11974.0,11964.0,11965.0,0,31,0.0,0
20100302  10:16:00,11968.0,11976.0,11965.0,11972.0,0,40,0.0,0
20100302  10:16:30,11973.0,11980.0,11970.0,11976.0,0,46,0.0,0
20100302  10:17:00,11974.0,11976.0,11968.0,11972.0,0,35,0.0,0
20100302  10:17:30,11975.0,11976.0,11969.0,11970.0,0,24,0.0,0
20100302  10:18:00,11973.0,11983.0,11970.0,11970.0,0,22,0.0,0
20100302  10:18:30,11974.0,11974.0,11962.0,11963.0,0,26,0.0,0
